id,lat,lon,region,role,degree
1,54.03449451716877,-2.713996786579296,R2,ER,2
2,50.62147100443657,2.5958515727617653,R3,ER,2
3,53.00620002907448,-3.6308231554122545,R2,CR,2
4,52.67310095706974,-3.800958428908818,R2,CR,2
5,53.32441676111171,-3.065156909348159,R2,ER,1
6,53.24380010278757,-2.8844026361552686,R2,CR,4
7,53.090465241289124,-2.004047101601768,R2,CR,2
8,52.917724451031106,-1.1130116540821708,R2,CR,2
9,53.58237247880906,-3.0004260962653344,R2,ER,2
10,52.69490718047678,-0.40990237424820547,R2,CR,3
11,54.07833917314523,-2.3662244110269275,R2,ER,2
12,53.369505663375485,-0.08684478555398055,R2,CR,4
13,53.73983564982873,-0.8994901384491503,R2,CR,3
14,53.97960904346122,-1.6798692460038358,R2,CR,2
15,53.09189960547111,-0.09382210527968572,R2,ER,2
16,52.22288468767736,0.36163244944876305,R3,IXP,3
17,54.11867115285205,-0.1190294758614109,R2,ER,2
18,53.93023036580827,-0.05780286577177458,R2,ER,2
19,52.80758730672831,-0.1265917039575872,R2,CR,2
20,52.46839549933244,0.030751921587243373,R2,CR,3
21,49.41539466417878,-1.4343717171497483,R1,CR,3
22,49.99479598119098,-2.1269934915379083,R1,CR,2
23,49.656008656632295,-2.6296539142021977,R1,CR,3
24,50.13770599072779,-2.7823127430569103,R1,ER,3
25,50.338148135270025,-1.5100153060306862,R1,IXP,3
26,50.198144792047664,-2.080653673640105,R1,DC,5
27,49.91360487035984,-0.9889943302321591,R1,CR,2
28,50.42040101763187,-0.9730797708919134,R1,CR,2
29,48.98643998102194,-3.0016463521475774,R1,ER,1
31,53.392816726468205,-0.32747955847653915,R2,ER,2
32,52.55716793114539,0.2417473040243246,R2,CR,2
33,46.401112998285754,-0.5601317002981658,R4,IXP,4
34,46.14401664298403,-0.8514359279034678,R4,ER,2
35,51.77865319675439,0.43870216595797984,R3,CR,2
36,52.380144816819204,0.12141377149047303,R2,CR,2
37,48.198350087047174,-2.514028277488945,R1,CR,2
38,49.093156747302025,-2.672270935960475,R1,CR,4
39,46.61652063815102,-1.7182743219668972,R4,ER,2
40,47.28354660570169,-2.207259152107569,R1,CR,2
41,49.18259947976651,1.2488169211490774,R3,IXP,3
42,49.92481203313455,1.3998210186534088,R3,CR,2
43,47.258317376200274,2.312701184223865,R4,ER,1
44,47.321584188256566,3.0611489491185524,R4,ER,2
45,52.401926853254494,2.1706913369022556,R3,ER,1
46,52.249899796874466,-2.2262309298903,R2,CR,2
47,51.16902944122503,1.1195007892223998,R3,DC,6
48,49.828612853390354,0.9191942946475445,R3,CR,3
49,52.372118092609746,-2.9041216693076173,R2,CR,2
50,52.48659099470887,-3.5353222965257065,R2,ER,2
51,48.325407468964286,-0.5394507609156666,R1,ER,1
52,48.29475531090297,-1.0061220854230815,R1,CR,2
53,48.91230620204828,-1.5298465935820258,R1,DC,5
54,48.73366852179295,-0.9765767316614149,R1,CR,2
55,50.256065886961956,-3.0658793881474535,R1,ER,1
56,48.86791374737305,-2.089298799087717,R1,ER,2
57,50.1599393888391,0.05647201640565824,R3,DC,3
58,50.217488869508834,-0.2900887440188835,R1,CR,2
59,48.73575839618208,-0.5389181571019773,R1,DC,4
60,49.445648336895204,-0.15224431817550432,R1,IXP,2
61,51.35120909886794,0.5504361906455937,R3,DC,4
62,50.97894692940904,0.7371281347010603,R3,CR,2
63,50.27249096407859,0.8535840487141998,R3,CR,3
64,50.4748998062215,0.32526930256495423,R3,CR,2
65,49.86154769315663,1.0143293861822942,R3,ER,2
66,49.74528597057836,0.7308765338175716,R3,ER,2
67,49.884482686042396,0.518035401098232,R3,ER,1
68,50.48344528642344,0.8625057567842896,R3,DC,2
69,51.95275450838995,0.22153913610003728,R3,CR,2
70,50.991440254532336,0.3769860903096881,R3,DC,3
71,51.74289670900977,0.7921817422298993,R3,DC,4
72,52.23418937582174,1.1375379928690343,R3,ER,2
73,52.245930998569314,1.4269952760789466,R3,ER,3
74,48.861958726934304,-2.4855586853727454,R1,ER,2
75,50.73013602980903,-0.5953885899063962,R1,CR,2
76,50.24373937461043,-0.9945980547627229,R1,IXP,4
77,49.99444280374073,-1.306859571145833,R1,CR,3
78,50.03982963826601,-1.9545470518342254,R1,CR,3
79,50.535562103283354,0.241217409518906,R3,DC,2
80,50.46461206279627,-0.20804426793456754,R1,CR,2
81,50.32391883652512,-0.5451391220277088,R1,IXP,5
82,50.85482473780811,-0.8496764424546064,R1,CR,2
83,47.96278325051438,1.293828316932228,R4,ER,2
84,50.198614261517676,-2.314517337104966,R1,CR,3
85,49.95819792894766,-2.3326805732481457,R1,ER,2
86,48.434539005733384,0.7450843947790957,R4,ER,2
